month,value,r1_value,r4_value,r6_value,r8_value,r12_value
5,24603,24493.0,19969.0,33533.0,24052.0,28057.0
6,26485,24603.0,21701.0,37351.0,28449.0,25451.0
7,30723,26485.0,26249.0,19969.0,33533.0,24872.0
8,34569,30723.0,24493.0,21701.0,37351.0,33424.0
9,26689,34569.0,24603.0,26249.0,19969.0,24052.0
10,26157,26689.0,26485.0,24493.0,21701.0,28449.0
11,32064,26157.0,30723.0,24603.0,26249.0,33533.0
12,38870,32064.0,34569.0,26485.0,24493.0,37351.0
1,21337,38870.0,26689.0,30723.0,24603.0,19969.0
2,19419,21337.0,26157.0,34569.0,26485.0,21701.0
3,23166,19419.0,32064.0,26689.0,30723.0,26249.0
4,28286,23166.0,38870.0,26157.0,34569.0,24493.0
5,24570,28286.0,21337.0,32064.0,26689.0,24603.0
6,24001,24570.0,19419.0,38870.0,26157.0,26485.0
7,33151,24001.0,23166.0,21337.0,32064.0,30723.0
9,26804,24878.0,24570.0,23166.0,21337.0,26689.0
10,28967,26804.0,24001.0,28286.0,19419.0,26157.0
11,33311,28967.0,33151.0,24570.0,23166.0,32064.0
12,40226,33311.0,24878.0,24001.0,28286.0,38870.0
1,20504,40226.0,26804.0,33151.0,24570.0,21337.0
2,23060,20504.0,28967.0,24878.0,24001.0,19419.0
3,23562,23060.0,33311.0,26804.0,33151.0,23166.0
4,27562,23562.0,40226.0,28967.0,24878.0,28286.0
5,23940,27562.0,20504.0,33311.0,26804.0,24570.0
6,24584,23940.0,23060.0,40226.0,28967.0,24001.0
7,34303,24584.0,23562.0,20504.0,33311.0,33151.0
8,25517,34303.0,27562.0,23060.0,40226.0,24878.0
9,23494,25517.0,23940.0,23562.0,20504.0,26804.0
10,29095,23494.0,24584.0,27562.0,23060.0,28967.0
11,32903,29095.0,34303.0,23940.0,23562.0,33311.0
12,34379,32903.0,25517.0,24584.0,27562.0,40226.0
1,16991,34379.0,23494.0,34303.0,23940.0,20504.0
2,21109,16991.0,29095.0,25517.0,24584.0,23060.0
3,23740,21109.0,32903.0,23494.0,34303.0,23562.0
4,25552,23740.0,34379.0,29095.0,25517.0,27562.0
5,21752,25552.0,16991.0,32903.0,23494.0,23940.0
6,20294,21752.0,21109.0,34379.0,29095.0,24584.0
7,29009,20294.0,23740.0,16991.0,32903.0,34303.0
8,25500,29009.0,25552.0,21109.0,34379.0,25517.0
9,24166,25500.0,21752.0,23740.0,16991.0,23494.0
10,26960,24166.0,20294.0,25552.0,21109.0,29095.0
11,31222,26960.0,29009.0,21752.0,23740.0,32903.0
12,38641,31222.0,25500.0,20294.0,25552.0,34379.0
1,14672,38641.0,24166.0,29009.0,21752.0,16991.0
2,17543,14672.0,26960.0,25500.0,20294.0,21109.0
3,25453,17543.0,31222.0,24166.0,29009.0,23740.0
4,32683,25453.0,38641.0,26960.0,25500.0,25552.0
5,22449,32683.0,14672.0,31222.0,24166.0,21752.0
6,22316,22449.0,17543.0,38641.0,26960.0,20294.0
7,27595,22316.0,25453.0,14672.0,31222.0,29009.0
8,25451,27595.0,32683.0,17543.0,38641.0,25500.0
9,25421,25451.0,22449.0,25453.0,14672.0,24166.0
10,25288,25421.0,22316.0,32683.0,17543.0,26960.0
11,32568,25288.0,27595.0,22449.0,25453.0,31222.0
12,35110,32568.0,25451.0,22316.0,32683.0,38641.0
1,16052,35110.0,25421.0,27595.0,22449.0,14672.0
2,22146,16052.0,25288.0,25451.0,22316.0,17543.0
3,21198,22146.0,32568.0,25421.0,27595.0,25453.0
5,22084,19543.0,16052.0,32568.0,25421.0,22449.0
6,23816,22084.0,22146.0,35110.0,25288.0,22316.0
7,29961,23816.0,21198.0,16052.0,32568.0,27595.0
8,26773,29961.0,19543.0,22146.0,35110.0,25451.0
9,26635,26773.0,22084.0,21198.0,16052.0,25421.0
10,26972,26635.0,23816.0,19543.0,22146.0,25288.0
11,30207,26972.0,29961.0,22084.0,21198.0,32568.0
12,38687,30207.0,26773.0,23816.0,19543.0,35110.0
1,16974,38687.0,26635.0,29961.0,22084.0,16052.0
2,21697,16974.0,26972.0,26773.0,23816.0,22146.0
3,24179,21697.0,30207.0,26635.0,29961.0,21198.0
4,23757,24179.0,38687.0,26972.0,26773.0,19543.0
5,25013,23757.0,16974.0,30207.0,26635.0,22084.0
6,24019,25013.0,21697.0,38687.0,26972.0,23816.0
7,30345,24019.0,24179.0,16974.0,30207.0,29961.0
8,24488,30345.0,23757.0,21697.0,38687.0,26773.0
9,25156,24488.0,25013.0,24179.0,16974.0,26635.0
10,25650,25156.0,24019.0,23757.0,21697.0,26972.0
11,30923,25650.0,30345.0,25013.0,24179.0,30207.0
12,37240,30923.0,24488.0,24019.0,23757.0,38687.0
1,17466,37240.0,25156.0,30345.0,25013.0,16974.0
2,19463,17466.0,25650.0,24488.0,24019.0,21697.0
3,24352,19463.0,30923.0,25156.0,30345.0,24179.0
4,26805,24352.0,37240.0,25650.0,24488.0,23757.0
5,25236,26805.0,17466.0,30923.0,25156.0,25013.0
6,24735,25236.0,19463.0,37240.0,25650.0,24019.0
7,29356,24735.0,24352.0,17466.0,30923.0,30345.0
8,31234,29356.0,26805.0,19463.0,37240.0,24488.0
9,22724,31234.0,25236.0,24352.0,17466.0,25156.0
10,28496,22724.0,24735.0,26805.0,19463.0,25650.0
11,32857,28496.0,29356.0,25236.0,24352.0,30923.0
12,37198,32857.0,31234.0,24735.0,26805.0,37240.0
1,13652,37198.0,22724.0,29356.0,25236.0,17466.0
2,22784,13652.0,28496.0,31234.0,24735.0,19463.0
3,23565,22784.0,32857.0,22724.0,29356.0,24352.0
4,26323,23565.0,37198.0,28496.0,31234.0,26805.0
5,23779,26323.0,13652.0,32857.0,22724.0,25236.0
6,27549,23779.0,22784.0,37198.0,28496.0,24735.0
7,29660,27549.0,23565.0,13652.0,32857.0,29356.0
8,23356,29660.0,26323.0,22784.0,37198.0,31234.0
